Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Claims Data Scientist,$80K-$130K (Glassdoor est.),"About ConcertAI

ConcertAI is the leading provider of precision oncology solutions for biopharma and healthcare, leveraging the largest collection of research-grade Real-world Data and the only broadly deployed oncology-specific AI solutions. Our mission is to improve translational sciences; accelerate therapeutic clinical development; and provide new capabilities for post-approval studies to accelerate needed new medical innovations to patients and to improve patient outcomes.
ConcertAI has emerged as one of the highest growth technology companies in Real-world Data and AI, backed by industry leading private equity companies: SymphonyAI, Declaration Partners, Maverick Ventures, and Alliance|Bernstein.

Role Summary
As a Claims Data Scientist at ConcertAI, you will be responsible for data exploration, and analysis on patient data for various stakeholders in the oncology and healthcare domain, including claims and claims-clinical linked data assets. You will report to the Vice President of Data Products. You should have a good mix of programming/CS, visualization, stats/math, and ML skills (with a particular strength in at least 2 of those areas), and ideally, you have been applying those skills in healthcare. You should have previous experience with healthcare claims. You will design methods and models around client driven needs and you will collaborate with various subject matter experts to inform those methods. You will assist the client delivery team with insights, dashboards, and ad-hoc analytics. You will also work with the engineering team to build prototypes and models for new product development.
Responsibilities
Understand external claims data assets and oversee the ingestion, processing, de-identification, and provisioning for data assets and research projects.
Understand client / product needs and translate them into tactical R&D initiatives with defined goals and timelines.
Reason about healthcare specific problems to analyze visualize, interpret, and contextualize results.
Run a variety of analytics from data QA to complex models.
Become the internal subject matter expert on all things claims.
Implement models using high level software packages (SKlearn, R, TensorFlow, Spark).
Collaborate on software projects with engineers, providing analytical guidance and contributing to codebase.
Requirements
BSc or higher in a STEM field, with formal training in CS, stats, and math.
Strong programming abilities in at least one high level language (python, stata, R).
Knowledge of statistical methods- regression, ANOVA, EDA, PCA, etc.
Basic visualization skills- matplotlib/seaborn/plotly/etc, tableau.
Experience with big data – Cloud data warehouses, cluster computing, Spark, MapReduce/Hadoop.
Experience with healthcare claims data
Intimate familiarity with the python data science stack (pandas, sklearn, numpy/scipy).
Firm understanding of claims data processing and adjudication, including rejections, re-submissions, and identifying final claims.
Ideal candidate would have a competency around linking EMR and claims data via identity management.
Learn More About ConcertAI

ConcertAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture, by building a collaborative, engaged, patient focused, team approach to our mission. Our high-performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about ConcertAI at www.concertai.com or on LinkedIn .",3.8,"ConcertAI
3.8",Remote,-1,501 to 1000 Employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist,$80K-$130K (Glassdoor est.),"Overview


JM&A Group is one of the largest independent providers of finance and insurance (F&I) products in the automotive industry. For nearly 40 years, the company has helped automobile dealers achieve unsurpassed levels of performance. JM&A Group provides more than 3,800 dealerships with a variety of products and services, such as new and used vehicle protection plans, pre-paid maintenance plans and GAP protection programs. Among JM&A Group’s competitive advantages is its robust training and consulting services for F&I professionals, and the company is actively evolving to meet consumer preferences to remain a market leader and a partner of choice.

Job Description


JM&A, a division of JM Family Enterprises, Inc., is looking for an experienced Data Scientist to join its Customer Services Admin team. The Data Scientist will partner with stakeholders from various business functions to identify data science opportunities, have the knowledge, experience and technical skills to leverage internal and external data, and apply the right machine learning/big data technologies to turn such data into valuable insights and solutions for the company. The candidate will be tasked with gathering and integrating large volumes of data to develop complex predictive / machine learning models to drive actionable results and insights especially in the areas of fraud / anomaly detection, claims automation / self service and general efficiency opportunities. his is a highly visible and impactful role where the Data Scientist will interact with the senior and executive level management and have the opportunity to influence what we do and how we do it through data science.

Responsibilities:
Create a collaborative and effective working relationship with functional leaders to understand business problems, identify opportunities / use cases to improve the performance of our businesses
Lead / Contribute to the development of actionable solutions. This includes all aspects of the solution development including problem and goal definition, defining a plan for:
Sampling of the data and conducting experiments
Data extraction
Ingestion and processing (outlier and missing data handling)
Exploratory data analysis
Feature engineering (weight of evidence, label encoding, label count encoding, target encoding, time-series, polynomial interactions, binning, outlier handling)
Feature selection (forward, backwards, information value)
Hyperparameter optimization of machine learning models
Experiment tracking for A/B testing and reproducibility, model evaluation, model interpretability, results communication and deployment
Contribute to the adoption and better understanding across the company of data science best practices and tools and stay up to date regarding new knowledge and developments in this domain
#LI-JD1

Job Requirements
Core skills in Computer Science: Data Structures, Algorithms, Programming Paradigms and Relational Databases
Deep working experience applying statistics and machine learning techniques to real-world problems and data and deploying models to production
Hands-on experience with SQL and tools to access databases
Expertise in Python and R
Expertise with open source data mining/machine learning/big data programming libraries, models and frameworks (e.g. Pandas, Scikit-Learn, H2O, TSFresh, FeatureTools, MLflow, Shap, Microsoft Interpret, Tensorflow, Statsmodels, Pandas-Profiling, Seaborn, Plotly, Spark, Koalas)
Working experience with cloud computing services such as Amazon AWS, Microsoft Azure or Google Cloud Platform
Excellent presentation skills to non-technical Associates communicating complex concepts in terms the audience can understand through understandable language, tables and visualizations
When evaluating the candidate, special attention will be paid to the following competencies:
Intellectual Curiosity and Critical Thinking, necessary to analyze a problem from multiple perspectives and examine the interrelationships between data that may appear superficially unrelated
Autonomous, to own projects end-to-end; ability to work on the entire stack without being dependent on other team members
Focus, to design and test a technique over days and weeks, find it doesn’t work, learn from the failure, and try again
Creativity, to invent and try new approaches to solving a problem
Attention to Detail, in order to maintain rigor and to detect and avoid over-reliance on intuition when examining data
Clear and concise written and oral communication, in order to communicate complex quantitative analysis in a clear and precise manner
Interpersonal skills, necessary to build good working relationships and work as part of a team
PhD or Masters in Computer Science, Statistics, Computer Science, Math or a related discipline or equivalent skill set",4.0,"JM&A Group
4.0","Deerfield Beach, FL",-1,501 to 1000 Employees,1978,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
DATA SCIENTIST,$80K-$130K (Glassdoor est.),"JOB SUMMARY

The position will focus on building products to democratize machine learning and consequently improve the cost and quality of patient care. This position involves development of tools that accelerate analytics and machine learning for the organization. Developing models that encompass all aspects of hospital operations, including clinical, operational, and financial data. Also responsible for teaching data analysts and software engineers how to work effectively with vast quantities of data
This position requires full understanding and active participation in fulfilling the Mission of Blessing Health System. It is expected that the employee demonstrate behavior consistent with the Core Values while supporting the strategic plan, goals and direction of the Performance Improvement Process (PIP) at Blessing Health System.

JOB QUALIFICATIONS

Education/Training/Experience:
REQUIRED:
Graduate or post graduate university degree in the field of computer science, mathematics, or statistics,
Minimum of 5 years’ experience in healthcare analytics
Fluency with at least one scripting language such as Python, Perl, etc.
Expert knowledge of statistical analysis tools such as R, Matlab, etc.
Experience with very large datasets
Proficient with Microsoft Word, Excel and other office projects required.
Excellent written and verbal communication skills.
Pay Status:
EXEMPT

IND0

Blessing Health System provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Blessing Health System complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Blessing Health System expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Blessing Health System’s employees to perform their job duties may result in discipline up to and including discharge.

19437

Location: Blessing Hospital · DECISION SUPPORT
Schedule: Full-Time, Days, Monday-Friday, 8:00am-5:00pm, 40 hours weekly",3.8,"Blessing Hospital
3.8","Quincy, IL",-1,1001 to 5000 Employees,1875,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Sr. Data Scientist,$80K-$130K (Glassdoor est.),"Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",-1,501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1
Data Scientist,$80K-$130K (Glassdoor est.),"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Lead Data Scientist (Life Insurance),$80K-$130K (Glassdoor est.),"REPORTS TO: Director of Finance

FLSA STATUS: Exempt

TRAVEL: 0%-10%

WORK SCHEDULE: M-F, may need to flex times due to business needs

LOCATION: Downtown Hartford, CT. Open to remote work for the right candidate.

COMPANY OVERVIEW:

Covr Technologies is a leading, InsurTech venture capital-backed company, focused on using technology to simplify the buying process for life insurance and related products. As an innovator in a rapidly evolving industry, Covr is a technology-driven company that provides a simpler way for people to protect what matters most. Through partnerships with financial institutions and advisors, Covr's innovative digital platform provides the capability to research, compare and buy life insurance from top providers, fully online and within minutes. Our employees enjoy a casual dress code, flexible hours and progressive work environment. We have a strong culture based on our core values: Client First, Integrity, Innovation, Collaboration, Fun!

JOB SUMMARY:

The position will report directly to the Director of Finance with an indirect reporting line to the President and CEO of Covr and will work cross-functionally with teams to drive understanding of how data is used to improve decision making, product effectiveness and sales execution. Internally the title for this role is Lead, Business Analytics and Data Science. The individual should have an affinity for enabling data-driven decisions with a bias toward action. Must enjoy the process of breaking down complex data sets and problems into comprehensible and actionable insights.

ESSENTIAL JOB FUNCTIONS, DUTIES, AND PERFORMANCE RESPONSIBILITIES:

Analyze KPIs and key business analytics
Develop productive data models to direct priority sales and service activities
Research customer data segments for business development
Develop, maintain, and improve holistic data sets, reports, and dashboards to monitor company performance
Analyze business intelligence and support the business by communicating key insights, risks, and findings to management
Use a data-informed approach to inform and drive day-to-day focus and operational efficiencies
Develop deep insights into customer segments and use data modeling to improve buying behaviors and conversion rates.
Performs other duties and projects as assigned

JOB SPECIFICATIONS AND QUALIFICATIONS:

Education and Experience:

B.A. or B.S. Business, Predictive Analytics, Data Science or other related area of study.
Minimum of 2 years of relevant work related experience
Experience within the life insurance industry a plus

Knowledge and Skills:

Experience conducting analysis of various types including predictive analytics and sales analytics a plus
Experience in building production-level algorithms and predictive analytics systems along with data pipelines
Solid experience in MS Office applications (Word, Excel, Outlook, etc.) and other applications (SAS, SQL, Power BI, Tableau, etc)
Experience working with cloud database technologies, such as Amazon Web Services (Amazon Redshift), S3, and/or Snowflake and/or Google Analytics
Strong critical thinking and organizational skills; including customer facing and strong communication skills. Needs to interpret data and make recommendations to business leaders and customers.
Knowledge of B2B2C and B2C environments with financial institution and consumer direct channels
Strong work ethic and high level of personal integrity and accountability

BENEFITS PACKAGE:

Check out our Employee Reviews on Glassdoor and Indeed to learn more about our culture!

We offer a competitive benefits package:

Paid Time Off (PTO): 3 weeks to start increasing with years of service
Paid holiday’s – 10.5 days, including two 4-day weekends!
NEW - Downtown parking subsidy
NEW - Summer Hours Program
Medical, Dental and Vision – 90% of monthly premium paid by Covr for all full-time employees
HSA employer contribution of $600/yr ($150/qtr)
Adult and child orthodontia
Health Savings Account (HSA) with quarterly company contributions
Short-Term and Long-Term Disability
NEW - Pet insurance for cats and dogs!
NEW - Paid Community Volunteer Program
401(k) with company match at 3.5%
Company paid Life and AD&D insurance of $25,000 for all full-time employees.
Supplemental Life and AD&D insurance up to 5x’s salary for employee up to $300,000
Supplemental Life and AD& D plans offered for spouse up to $100,00 and dependents up to $10,000
Flexible Spending Accounts (FSAs): medical, dependent, parking and transit

To Submit an Application/Questions:

Internal Applicants: Apply through Covr’s YourSource self-service portal.
External Employees: Submit an external application by going to www.covrtech.com/careers/
Have a question about an open position… Text your question directly to our HR department at (208) 417-8305. We check our messages frequently throughout the day and will get back to you as soon as possible.

Key Words: analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database, analytics, analysis, date, insights, buying behaviors, conversion rates, rate, excel, intelligence, analyze, data set, data sets, holistic data, dashboards, KPI, Tableau, B2B, B2B2C, interpret, redshift, S3, SAS, SQL, Power BI, Google Analytics, amazon, cloud database. machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, machine learning, predictive analytics, Power BI, AI, google analytics, life insurance, insurance industry, life insurance, life insurance, sales analytics, predictive analytics, sales analytics, predictive analytics, sales analytics, predictive analytics, data scientist, data science, data governance, data scientist, data science, data governance, data scientist, data science, data governance

Powered by JazzHR

zloWsGQdAp",4.5,"Covr Financial Technologies
4.5","Hartford, CT",-1,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$80K-$130K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Data Analyst - Logistics,$80K-$130K (Glassdoor est.),"You will like working for us as we have amazing people and a highly collaborative culture. Global success hasn’t changed our tight-knit feel – we’ve simply grown into a larger, more diverse family. We have thousands of jobs around the globe and encourage all of our associates to chase their dreams without having to find them in another company – it truly is a special place.

Under the direction of Director, North America Logistics, this position is responsible for managing and creating spend analysis, operations reports, and compliance tracking for assigned Logistics Strategic and Tactical metrics globally. This position is responsible for spend for all assigned plants and transportation suppliers. Responsible for creating and monitoring daily, weekly, monthly, and summary data and reporting output , management reports, and recommendations in regards to those reports. This position ensures the accuracy, distribution, and integrity of the data using a diverse set of business intelligence tools.

Key Responsibilities:
Design and run reports for improved spend visibility, compliance and identification of productivity opportunities Distribute reports to senior leaders, division general managers, Supply Management and others as needed
Evaluate, implement and deploy new tools to assist in data analytics, market research and other aspects of data analysis
Proactively identify and lead process improvements to data analysis and reporting processes across area of responsibility
Lead data mining required for accurate spend reporting.
Coordinate data maintenance required for Oracle Freight Transportation Intelligence.
Perform routine spend analysis in support of Supply Management / Logistics sourcing events.
Provide summary and detail trend analysis of spend globally.
Develop and provide reporting for both internal and end customers.
Develop and conduct routine data audits to verify data accuracy. Identify and address root causes of problems with data integrity.
Ensure linkage of tools with effective Supply Management and Logistics practices.
Actively participate in training for Oracle OTM / FTI.
Train user in freight transportation intelligence.
Actively participates and engage with business units.
This position is in a perfect location at our corporate headquarters in Hartsville, SC and close to exciting destinations (Myrtle Beach, SC; Charleston, SC; Columbia, SC and Charlotte, NC).

Required Experience/Education:
Bachelor's degree preferred
2+ years of Data Analysis experience and aptitude
Preferred Experience/Education:
Knowledge of Oracle transportation management or similar TMS.
Prior experience on logistics.
Experience using business intelligence tools.
This is a progression experience and level will be based on candidate experience and business needs.

We care about the health and wellness of you and your family. That’s why we offer a comprehensive benefits package that makes it easier to manage your health and provide financial security for you and your family. In addition, we offer competitive wages and retirement plans.

Apply today and help us grow stronger.

For more information, visit www.sonoco.com/careers

#LI-JF1

#GDSponsored

We are an equal opportunity employer, and we strictly prohibit and do not tolerate discrimination against employees, applicants or any other covered persons because of race, color, religion, national origin or ancestry, sex, pregnancy, sexual orientation, marital status, gender identity or expression, age, disability, genetic information, veteran status, or any legally protected characteristic.",4.0,"Sonoco Products
4.0","Hartsville, SC",-1,10000+ Employees,1899,Company - Public,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
Scientist,$80K-$130K (Glassdoor est.),"About Karius
Karius is a venture-backed life science startup that is transforming the way pathogens and other microbes are observed throughout the body. By unlocking the information present in microbial cell-free DNA, we're helping doctors quickly solve their most challenging cases, providing industry partners with access to 1000’s of biomarkers to accelerate clinical trials, discovering new microbes, and reducing patient suffering worldwide.

Why Should You Join?
Karius aims to conquer infectious diseases through innovations around genomic sequencing and machine learning. The company’s platform is already delivering unprecedented insights into the microbial landscape, providing clinicians with a comprehensive test capable of identifying more than a thousand pathogens directly from blood, and helping industry accelerate the development of therapeutic solutions. The Karius test we provide today is one of the most advanced solutions available to physicians who aim to deliver better care to many otherwise ineffectively treated patients. Our test is the result of some incredible work done by our scientists, statisticians, engineers, and physicians, all driven by the same mission. You, as part of the Karius team, will be able to see how directly your work has a life-changing impact on people, and at scale.
Position Summary
We are looking for an extraordinary scientist to develop NGS-based clinical diagnostic assays into robust clinical products. The ideal candidate will design and execute superior assay development plans, optimize assays for astounding efficiency and robustness, identify in-line quality control measures that ensure industry-leading data integrity. If you are highly experienced in developing novel diagnostic approaches for nucleic acid detection as well as assay optimization, have worked extensively with NGS workflows and are eager to do the best work of your life, we should talk!
Reports to: Director, Research

Location: Redwood City, CA
Responsibilities Include
- Independently generate and evaluate new methods, technologies and processes.
- Design and execute experiments that ensure efficient and robust protocols.
- Achieve an ideal balance of assay integrity and work-flow simplicity through clever in-line quality control measures and assay monitoring strategies.
- Enable operational superiority through workflows compatible with automation.
- Assist in the design and execution of analytical and clinical validation studies.
- Act as a key contributor within integrated and multidisciplinary teams developing new and improving existing clinical assay.
- Create and maintain SOPs in the context of CLIA/CAP environment.
- Perform calculations and data analysis.
- Generate new IP to maintain Karius’ leadership position in the field of infectious disease diagnostics.
- Perform other duties, as needed.
Travel: No travel required.
Physical Requirements
- Subject to extended periods of sitting and/or standing, vision to monitor and moderate noise levels. Work is generally performed in an office, lab or clinical environment.
Position Requirements
- Ph.D. with minimum 5 years relevant experience building robust diagnostic products.
- Demonstrated proficiency taking clinical diagnostic assays through research and development.
- Experience with product development in CLIA/CAP or IVD environments.
- Follow GLPs and SOPs, and adhere to all safety and company policies.
- Expertise with RNA- and/or DNA-based Next-Generation Sequencing sample preparation technologies.
Personal Qualifications
- Must be an excellent communicator and able to summarize key findings, risks in a succinct manner including the ability to present information to stakeholders.
- Ability to anticipate and identify potential roadblocks to meeting goals and identify corrective actions.
- Display a high level of commitment and professionalism and is truly passionate about being at the cutting edge of science and generating the appropriate clinical evidence.
- Ability to work independently, collaboratively and manage deadlines.
- Exemplary project management skills with the ability to build schedules and mitigate against timeline delays.
- Strong communication and presentation skills.

At Karius, we value a diverse and inclusive workplace and provide equal employment opportunity for all applicants and employees and are committed to honor and invest in the full diversity of people, in our hiring, recruiting and development of employees across the Company. All qualified applicants for employment are encouraged to apply and will be considered without regard to an individual’s race, color, sex, gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application due to a disability, please contact us at recruiting@kariusdx.com and we will accommodate qualified individuals with disabilities.


At Karius, we value a diverse and inclusive workplace and provide equal employment opportunity for all applicants and employees and are committed to honor and invest in the full diversity of people, in our hiring, recruiting and development of employees across the Company. All qualified applicants for employment are encouraged to apply and will be considered without regard to an individual’s race, color, sex, gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application due to a disability, please contact us at recruiting@kariusdx.com and we will accommodate qualified individuals with disabilities.",2.6,"Karius
2.6","Redwood City, CA",-1,51 to 200 Employees,2014,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Sr Data Scientist,$80K-$130K (Glassdoor est.),"We are looking for a Senior Data Scientist to work with one of our US-based clients, which is one of the oldest and most trusted sources of global and financial news. In addition to print news, our client owns one of the most popular websites in the world and diversified its business across a range of media including information services, book publishing, and digital real estate services.

The team will be architecting a highly-scalable platform to power data acquisition, categorization, calculations, and visualization.
You are the one if you have:
At least five years of experience working in data analysis and data mining
Experience using R and Python
Knowledge in business intelligence
Proven experience regarding data and server security and manipulating large amounts of survey data
Strong communications skills
AdTech experience is a plus
Text Mining and Sentiment Analysis is a big plus
Our Engineers bring the vision and goals of our clients to life by bringing experience and passion to the software development process. Spark Digital Engineers take pride in elegant and robust solutions that bring peace of mind to those who rely on them.

Do you bring experience and passion to your work and team? Does seeing a software product take shape and come to life make you happy? If yes, you’d fit right in at Spark Digital and we’d love to talk about the Senior Data Scientist role we’re looking to fill.",4.5,"Spark Digital
4.5","New York, NY",-1,201 to 500 Employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
